"ID","Vetenskapligt namn","Order","Minsta order","Pris med moms","Plantskola","rekomenderas","kommentar","Ätligt","Zon","Storlekskommentar","Typ","höjd","Kruka","Lager","Länk"
"","Betula utilis ssp. jacquemontii 'Doorenbos'","","","7000","S","","himalayabjörk","","","flerstammig","T","240-260","C130 klump","",""
"","Azorella trifurcata","","","62","BS","","","","","","P","","P11","",""
"","Aster novae-angliae 'Purple Dome'","","","62","BS","","","","","","P","","P11","",""
"","Aruncus aethusifolius 'Noble Spirit'","","","78","Si","","","","","","P","","C3",4,""
"","Astilbe arendsii 'Astary® Rose'","","","62","BS","","","","","","P","","P11","",""
"","Astilbe chinensis 'Purpurkerze'","","","257","S","","","","","","P","","C5","",""
"","Buddleja davidii 'Santana'","","","240","Si","","","","","","T","40-50","C5",9,""
"","Aesculus hippocastanum 'Laciniata'","","","532","A","","flikbladig hästkastanj, buskväxande","","","","T","100-120","C10",2,""
"","Aubrieta x cultorum 'Axcent Deep Purple'","","","42","BS","","","","","","P","","P11","",""
"","Acer pseudosiebodianum","","","570","A","","manchurisk solfjäderslönn","","","","T","100-140","C7,5/10",2,""
"","Astilbe taquetii 'Purpurlanze'","","","62","BS","","","","","","P","","P11","",""
"","Achillea millefolium 'Summer Pastels'","",12,"28","BS","","","","","","P","","P9","",""
"","Amelanchier laevis 'Snowflake'","","","493","S","","","","","","T","60-80","C5","",""
"","Aster novi-belgii 'Fuldatal'","","","42","BS","","","","","","P","","P11","",""
"","Astilbe simplicifolia 'Sprite'","",12,"33","BS","","","","","","P","","P9","",""
"","Abies procera 'Sherwoodii'","","","543","S","","","","","","B","20-30","C3","",""
"","Berberis thunbergii 'Flamingo 'PBR ","","","256","Si","","","","","","T","40-50","C5",37,""
"","Berberis thunbergii 'Admiration' (PBR)","","","208","Si","","","","","","T","15-25","C2",117,""
"","Alcea rosea var. nigra 'var.nigra'","","","42","BS","","","","","","P","","P11","",""
"","Amsonia tabernaemontana 'Storm Cloud'","","","190","BS","","mkt speciell med sina mörka nya skott som liknar ett åskväder!","","","","P","","C5","",""
"","Aster novi-belgii 'Patricia Ballard'","","","74","S","","","","","","P","","C2","",""
"","Berberis thunbergii 'Red Carpet'","","","128","Si","","","","","","T","20-30","C1,5",13,""
"","Briza media","",12,"28","BS","","","","","","G","","P9","",""
"","Acer platanoides 'Paldiski'","","","1598","S","","Sort med extra finflikiga blad. Mer så än 'Palmatifidum'.","","","","T","120-140","C12 Pa","","https://youtu.be/N8G5RjgQOpE"
"","Anredera cordifolia  ","","","23","KZ","","","","0","","K","","P9","",""
"","Allium sphaerocephalon 'Hair'","",12,"28","BS","","","","","","P","","P9","",""
"","Avenula planiculmis","",12,"54","BS","","","","","","G","","P9","",""
"","Achillea millefolium 'Cercise Queen'","","","59","Si","","","","","","P","","P13",238,""
"","Acca sellowiana 'Gemini'","","","195","KZ","","","","växthus","","T","","C2","",""
"","Acer palmatum 'Osakazuki'","","","297","A","","Höstfärg !!","","","","T","30-40","C2",8,"http://fotodendron.se/trad/acer-palmatum-osakazuki/"
"","Agapanthus SILVER MOON 'Notfred' PBR","","","514","S","","","","0","","P","","C6","",""
"","Alnus glutinosa 'Imperialis'","","","4900","S","","flikbladig klibbal, denna klon mycket fint flikad","","","","T","360-380/stamomf 8-10","C45","",""
"","Artemisia vulgaris 'Oriental Limelight'","","","74","S","","","","","","P","","C2","",""
"","Athyrium filix femina 'Vernoniaea Cristatum'","","","147","Si","","","","","","O","","P15",17,""
"","Anemone japonica 'Konigin Charlotte'","","","62","BS","","","","","","P","","P11","",""
"","Amelasorbus x jackii","","","188","KZ","","","","","","T","","C2","",""
"","Astilbe arendsii 'Astary® White'","",12,"33","BS","","","","","","P","","P9","",""
"","Berberis thunbergii 'Pink Attraction'","","","136","S","","","","","","T","30-40 ","C3","",""
"","Betula utilis ssp. albosinensis 'Fascination'","","","600","S","","","","","","T","220-240","C12","",""
"","Acer mandchuricum","","","420","A","","","","","","T","40-50","C5/7,5",4,""
"","Acer platanoides 'Pyramidale Nanum'","","","1400","S","","","","","","T","140-160","C12 Pa","",""
"","Aster ericoides 'Pink Cloud'","","","74","S","","","","","","P","","C2","",""
"","Amelanchier alnifolia 'Thiessen'","","","143","KZ","","bärhäggmispel, ätbar","","5","","T","","C2","",""
"","Betula utilis ssp. albosinensis 'Fascination'","","","1286","S","","","","","","T","240-260","C30","",""
"","Buddleja davidii MISS PEARL 'Miss P' PBR","","","457","S","","","","","","T","40-60","C5","",""
"","Acer palmatum 'Fireglow'","","","5423","S","","","","","","T","","C30 150/175","",""
"","Arabis caucasica 'Little Treasure Deep Rose'","",12,"28","BS","","","","","","P","","P9","",""
"","Acer saccharum ex Ramme","","","510","A","","sockerlönn","","","","T","120-140","C5/7,5",2,""
"","Acer palmatum 'Beni-shichi-henge' ","","","2619","S","","","","","","T","80-100","C12","",""
"","Betula pubescens 'Cucullata'","","","686","S","NO","","","","","T","160-180","C5","",""
"","Berberis thunbergii 'Red Chief'","","","126","S","","","","","","T","25-30","C3","",""
"","Betula pendula 'Youngii'","","","3734","S","","tårbjörk","","6","","T","200-220/stamomf  8-10 ","C45 Pa","",""
"","Amelanchier alnifolia 'Saskatoon Berry'","","","536","S","","bärhäggmispel, ätbar","","5","busk","T","60-80","C5","",""
"","Aster lateriflorus 'Prince'","","","62","BS","","","","","","P","","P11","",""
"","Abies koreana","","","6810","S","","","","","","B","220-240 ","C100 klump","",""
"","Bergenia 'Dragonfly Angel Kiss'","","","78","Si","","","","","","P","","P11",22,""
"","Aster dumosus 'Jenny'","","","42","BS","","","","","","P","","P11","",""
"","Acer negundo 'Winter Lightening'","","","657","S","","","","","","T","120-140 ","C7,5","",""
"","Artemisia lactiflora 'Elfenbein'","","","110","Li","","pärlmalört","","","","P","","C2",8,""
"","Anemone hupehensis 'Prinz Heinrich'","","","166","S","","","","","","P","","C3","",""
"","Alnus glutinosa 'Incisa'","","","686","S","","","","","","T","120-140 ","C5","",""
"","Amelanchier x grandiflora 'Princess Diana'","","","143","KZ","","","","","","T","","C2","",""
"","Armeria maritima 'Alba'","","","42","BS","","","","","","P","","P11","",""
"","Anemone japonica 'Prinz Heinrich'","","","42","BS","","","","","","P","","P11","",""
"","Buddleja davidii PEACOCK 'Peakeep' PBR","","","226","S","","","","","","T","30-40","C3","",""
"","Ajuga reptans 'Blueberry Muffin'","","","74","S","","","","","","P","","C2","",""
"","Betula utilis ssp. jacquemontii 'Doorenbos'","","","3143","S","","himalayabjörk","","","","T","240-260","C30","",""
"","Betula nigra 'Summer Cascade' PBR","","","720","Si","","","","","","T","120-160","C5",5,""
"","Akebia quinata ","","","216","Si","","akebia, kul klätterväxt, ätliga frukter om flera kloner odlas ihop, https://www.instagram.com/p/CT78aEzM2lm/","","3","","K","60-80","C2",3,"http://lindersplantskola.se/linder-superlista-atligt/"
"","Amelasorbus (x) jackii","","","657","S","","","","","","T","100-120","C7,5 Pa","",""
"","Acer negundo 'Winter Lightening'","","","543","S","","","","","","T","80-100","C5","","https://i.pinimg.com/originals/e9/8c/89/e98c89f1c6588ee507369df6b2ab75eb.png"
"","Betula nigra 'Graceful Arms'","","","1276","A","","något hängande grenar","","","","T","240","C10",1,""
"","Aquilegia caerulea 'Kristal'","",12,"28","BS","","","","","","P","","P9","",""
"","Buddleja davidii 'Summer Beauty'","","","240","Si","","","","","","T","30-50","C5",4,""
"","Aristolochia macrophylla","","","350","Li","","pipranka","","5","","K","","C7,5",10,""
"","Acer palmatum 'Osakazuki'","","","4960","S","","Höstfärg !!","","","","T","","C25 125/150","",""
"","Buddleja weyeriana 'Sungold'","","","240","Si","","","","","","T","40-50","C5",2,""
"","Buddleja davidii BUTTERFLY TOWER 'Tobud1305' PBR","","","457","S","","","","","","T","40-60","C5","",""
"","Astilbe x arendsii 'Anita Pfaifer'","","","62","BS","","","","","","P","","C2","",""
"","Arctanthemum arcticum 'Schwefelglanz'","","","42","BS","","","","","","P","","P11","",""
"","Buddleja davidii - fiolet - siewka ","","","96","Si","","","","","","T","10-20","P14",21,""
"","Betonica macrantha 'Superba' (Stachys)","","","70","Li","","praktbetonika","","","","P","","C2",12,""
"","Acer pseudoplatanus 'Esk Sunset'","","","3428","S","","","","","","T","200-220","C60 klump","",""
"","Astilbe chinensis 'Vision in White'","","","62","BS","","","","","","P","","C2","",""
"","Acer negundo 'Kellys Gold'","","","608","A","","gulbladig asklönn","","","","T","40-50","C5",1,""
"","Berberis thunbergii 'Silver Beauty'","","","144","Si","","","","","","T","30-40","C2",52,""
"","Armeria maritima","","","34","Si","","rosa","","","","P","","P11",9,""
"","Acer campestre 'Fastigiata'","","","1404","A","","","","","","T","250","C15",1,""
"","Aster dumosus 'Schneezicklein'","","","70","BS","","","","","","P","","C2","",""
"","Alcea rosea 'plena Chaters Gelb'","","","42","BS","","","","","","P","","P11","",""
"","Buddleja davidii FREE PETITE BLUE HEAVEN 'Podaras","","","322","S","","","","","","T","40-60","C5","",""
"","Alcea rosea-plena 'Chaters Weiss'","","","42","BS","","","","","","P","","P11","",""
"","Acer platanoides 'Globosum'","","","4000","S","","","","","","T","200-220/stamomf 10-12","C60 Pa","",""
"","Betula pendula 'Spider Alley 'PBR ","","","1120","Si","","","","","ympad på stam","T","Pa 100","C10/12",3,""
"","Acer sieboldianum","","","570","A","","","","","","T","140","C5",1,""
"","Berberis julianae","","","226","S","","","","","","T","30-40","C3","",""
"","Acer spicatum ","","","1280","Si","","","","","ympad på stam","T","Pa 160","C30",1,""
"","Aesculus pavia","","","608","A","","litet träd, rödrosa blommor, fin form import. USA","","","","T","120","C12",1,""
"","Ajuga reptans 'Gold Chang'","","","88","S","","","","","","P","","C3","",""
"","Betula pendula","","","2686","S","","","","","","T","240-260/stamomf  6-8","C43","",""
"","Brunnera macrophylla 'Looking Glass'","","","98","Si","","","","","","P","","P11",87,""
"","Abies koreana","","","2331","S","","","","","","B","140-160","C70 klump","",""
"","Acer pseudoplatanus 'Sunshine'","","","982","S","","","","","","T","140-160","C7,5 Pa","",""
"","Aristolochia macrophylla","","","230","S","","","","","","K","","C2","",""
"","Acer pseudosiebodianum","","","864","A","","manchurisk solfjäderslönn","","","","T","150-180","C7,5/10",7,""
"","Anemone ×hybrida 'Pamina'","","","200","S","","","","","","P","","C5","",""
"","Acer griseum ex Vågsäter, fin form.","","","342","A","","","","","spö","T","40-60","C3,5",12,"https://www.instagram.com/p/Bpww2EgghYb/"
"","Baptisia 'American Goldfinch'","","","250","Li","","färgväppling (gul)","","","","P","","C5",15,""
"","Berberis thunbergii 'Flamingo'","","","126","S","","","","","","T","20-30","C3","",""
"","Bergenia 'Spring Fling'","","","62","BS","","","","","","P","","P11","",""
"","Aster lateriflorus 'Lady in Black' ","","","74","S","","","","","","P","","C2","",""
"","Aruncus aethusifolius","",12,"28","BS","","koreansk plymspirea","","","","P","","P9","",""
"","Ammophila arenaria","",12,"33","BS","","","","","","G","","P9","",""
"","Allium tuberosum","","","30","KZ","","","","","","P","","P9","",""
"","Acer palmatum 'Villa Taranto'","","","3143","S","","","","","","T","80-100 ","C12","",""
"","Aster divaricatus 'Tradescant'","","","42","BS","","","","","","P","","P11","",""
"","Astilbe thunbergii 'Strain'","",12,"33","BS","","","","","","P","","P9","",""
"","Aubrieta gracilis 'Kitte® Blue'","","","42","BS","","","","","","P","","P11","",""
"","Ajuga reptans 'Mahogany'","","","74","S","","","","","","P","","C2","",""
"","Abies homolepis","","","3867","S","","","","","","B","160-180","C80 klump","","http://lindersplantskola.se/tradadventskalendern-10-dec-abies-homolepis-nikkogran/"
"","Astilbe x arendsii 'Cattleya'","","","62","BS","","","","","","P","","C2","",""
"","Abies alba 'Vesely'","","","442","S","","","","","","B","15-20","C3","",""
"","Abies koreana 'Helga'","","","3640","S","","","","","","B","","C11 30/40","",""
"","Aquilegia vulgaris","",12,"28","BS","","","","","","P","","P9","",""
"","Blechnum spicant","","","85","BS","","","","","","O","","P11","",""
"","Acer platanoides 'Laciniatum'","","","1152","S","","","","","","T","100-120","C10 Pa","",""
"","Acer palmatum 'Shishigashira'","","","2357","S","","helt klart en unik sort. bra höstfärg, upprätt växtsätt och bladen sitter väldigt tätt utmed grenarna. bonsai-känsla","","","","T","40-60","C12","","https://youtu.be/sQEzHy5uOaA?t=33"
"","Acer palmatum 'Garnet'","","","2203","S","","","","","","T","50-60 ","C5","",""
"","Acer rufinerve","","","1257","S","","","","","","T","200-220","C15","",""
"","Acer saccharum","","","550","Si","","sockerlönn","","","","T","140-180","C7,5",107,""
"","Abies koreana 'Blauer Eskimo'","","","1500","Si","","","","","","B","20-30","C7,5",1,""
"","Aesculus 'Laciniata'","","","4500","S","","","","","","T","200-220","C70","",""
"","Betula nigra 'Graceful Arms'","","","3929","S","","något hängande grenar","","","","T","200-220/stamomf 14-16","C90 Pa","",""
"","Aruncus dioicus","","","257","S","","","","","","P","","C5","",""
"","Abies homolepis 'Nana Compacta'","","","720","Si","","","","","","B","30-40","C7,5",3,""
"","Berberis thunbergii 'Diabolicum'","","","136","S","","","","","","T","20-30","C3","",""
"","Acer palmatum 'Dissectum Viride'","","","784","A","","","","","","T","35-50","C3,5/5",3,""
"","Boltonia latisquama","","","62","BS","","","","","","P","","C2","",""
"","Acer davidii 'Viper'","","","1152","A","","","","","ymp spö","T","250","C10",1,""
"","Aster alpinus 'Christina'","","","62","BS","","","","","","P","","C2","",""
"","Aster amellus 'Rosa Erfüllung'","","","60","Li","","brittsommaraster","","","","P","","P9",3,""
"","Aesculus glabra 'October Red'","","","1114","S","","","","","","T","100-120 ","C20 Pa","",""
"","Aesculus hippocastanum 'Memmingeri'","","","829","S","","","","","","T","140-160 ","C5","",""
"","Acer platanoides 'Maculatum'","","","1152","S","","","","","","T","120-140","C12 Pa","",""
"","Allium christophii","","","90","BS","","","","","","P","","P11","",""
"","Agapanthus 'Silver Moon'PBR","","","196","Si","","","","0","","P","","P13",5,""
"","Betula utilis 'Silver Shadow'","","","629","S","","","","","","T","120-140","C5","",""
"","Berberis thunbergii 'Red Dream' PBR","","","400","Si","","","","","","T","60-70","C12",1,""
"","Acer campestre 'Nanum'","","","5143","S","","","","","8/10 stamomfång","T","200-220","C55 Pa","",""
"","Acer davidii 'Rosalie'","","","2121","S","","","","","","T","80-100","C12","","https://www.frankpmatthews.com/app/uploads/2021/10/acer-davidii-rosalie.jpg"
"","Acer shirasawanum 'Autumn Moon'","","","1972","S","","","","","","T","30-40","C9","",""
"","Acer 'Ample Surprise' (longipes ssp. amplum x platanoides)","","","1900","A","","hybridlönn","","2 (-?)","","T","200-240","C20",5,""
"","Amelanchier alnifolia GREATBERRY FRUITY","","","493","S","","bärhäggmispel, ätbar","","5","busk","T","60-80","C5","",""
"","Betula medwediewii 'Gold Bark'","","","686","S","","","","","","T","60-80","C5","",""
"","Arenaria montana","",12,"28","BS","","","","","","P","","P9","",""
"","Apios americana    ","","","23","KZ","","","","0","","K","","P9","",""
"","Acer platanoides 'Beskid' (syn. 'Marylka')","","","1167","S","","","","","","T","140-160 ","C5","",""
"","Aster novae-angliae 'Andenken an Alma Pötschke'","","","74","S","","favorit, lysande rosa-cerise-röd","","","","P","","C2","",""
"","Aster ericoides 'Herbstmyrthe'","","","214","S","","","","","","P","","C5","",""
"","Betula pendula 'Magical Globe'","","","1280","Si","","","","","ympad på stam","T","Pa 140","C12",1,""
"","Ajuga x tenorii 'Princess Nadia'","","","42","BS","","","","","","P","","P11","",""
"","Berberis thunbergii 'Green Ornament'","","","126","S","","","","","","T","30-35","C3","",""
"","Actinidia arguta i sorter, honkloner","","","350","Li","","minikiwi","","4","","K","","C5",20,""
"","Aster dumosus 'Herbstgruss von Bresserhof'","","","74","S","","","","","","P","","C2","",""
"","Buglossoides purpuro-coeruleum","",12,"28","BS","","","","","","P","","P9","",""
"","Berberis thunbergii 'Kobold'","","","112","Si","","","","","","T","15-25","C1,5",48,""
"","Astilbe x arendsii 'Spartan'","","","62","BS","","","","","","P","","C2","",""
"","Acer palmatum 'Inaba-shidare'","","","3810","S","","","","","","T","100-120","C30","","https://youtu.be/yoezn2qL6IE?t=34"
"","Betula nigra 'Summer Cascade' PBR","","","2214","S","","","","","","T","200-220 ","C30","",""
"","Asphodeline lutea","","","62","BS","","","","","","P","","P11","",""
"","Berberis thunbergii 'Summer Sunset' PBR","","","226","S","","","","","","T","20-25","C3","",""
"","Acer campestre 'Carnival'","","","2257","S","","","","","","T","120-140","C12","",""
"","Abies koreana 'Oberon'","","","3968","S","","","","","","B","40-50","klump","",""
"","Armeria pseudoarmeria 'Ballerina White'","",12,"28","BS","","","","","","P","","P9","",""
"","Abies homolepis","","","2458","S","","","","","","B","140-160","C70 klump","","http://fotodendron.se/trad/abies-homolepis/"
"","Astilbe x arendsii 'Sister Theresa'","","","62","BS","","","","","","P","","C2","",""
"","Acer platanoides 'Globosum Select'","","","1686","S","","","","","","T","140-160","C30 Pa","",""
"","Asarum europaeum","",12,"28","BS","","","","","","P","","P9","",""
"","Allium 'Medusa Hair'","","","128","BS","","","","","","P","","C2","",""
"","Aster novi-belgii 'Bewunderung'","","","42","BS","","","","","","P","","P11","",""
"","Acer palmatum 'Sumi Nagashi'","","","3929","S","","","","","","T","100-120","C20","",""
"","Acer pseudoplatanus 'Zenith''","","","1028","S","","","","","","T","100-120 ","C7,5","",""
"","Buddleja davidii REVE DE PAPILLON LAVENDER 'Bosjer","","","169","S","","","","","","T","40-60","C3","",""
"","Bergenia 'Bressingham White'","","","74","BS","","","","","","P","","C2","",""
"","Betula nana 'Golden Treasure' PBR","","","400","S","","","","","","T","40-60","C5","",""
"","Alyssum (Aurinia) saxatile 'Compactum Goldkugel'","",12,"28","BS","","","","","","P","","P9","",""
"","Agapanthus africanus 'Twister' PBR","","","98","Si","","","","0","","P","","P11",78,""
"","Achillea millefolium 'Sunny Seduction®'","","","62","BS","","","","","","P","","C2","",""
"","Armoriacia rusticana","","","30","KZ","","","","","","P","","P9","",""
"","Berberis thunbergii 'Kelleriis'","","","126","S","","","","","","T","20-30","C3","",""
"","Asparagus officinalis 'Sweet Purple'","","","38","KZ","","","","","","P","","P9","",""
"","Acer platanoides","","","192","Si","","","","","","T","100-180","P16",733,"http://fotodendron.se/trad/acer-platanoides/"
"","Astilbe simplicifolia 'Key West'","","","59","Si","","","","","","P","","P11",5,""
"","Astilbe japonica 'Mainz'","","","62","BS","","","","","","P","","C2","",""
"","Anaphalis margaritacea","","","62","BS","","","","","","P","","P11","",""
"","Acer shirasawanum 'Aureum'","","","3143","S","","","","","","T","80-100","C12","","https://youtu.be/qXvkdyrHOFQ"
"","Angelica archangelica","","","62","BS","","","","","","P","","C2","",""
"","Acorus gramineus 'Argenteostriatus'","","","42","BS","","","","","","G","","P11","",""
"","Aster amellus 'Rudolf Goethe'","","","42","BS","","","","","","P","","P11","",""
"","Achillea millefolium 'Terracota'","",12,"33","BS","","","","","","P","","P9","",""
"","Anemone nemorosa","",12,"28","BS","","","","","","P","","P9","",""
"","Acer sieboldianum","","","252","A","","","","","","T","30-40","C2",10,""
"","Aesculus flava","","","629","S","","gulblommig hästkastanj","","","","T","100-120","C5","",""
"","Ajuga reptans 'Blueberry Muffin'","","","42","BS","","","","","","P","","P11","",""
